UID                 		level		m_spent		m_received		i_sold		i_bought
phungxinh2070       		89.00		4600000.00000		0.00000		0.00000		1400.00000
duzoiphantrocxoi    		80.00		0.00000		0.00000		150.00000		0.00000
donxuancanhdan2013  		99.00		0.00000		1000000.00000		0.00000		400.00000
25111982vltk2       		99.00		70000000.00000		0.00000		0.00000		0.00000
vnbitcoin.com97     		95.00		0.00000		0.00000		1020.00000		0.00000
vetthuonglong71zqny 		83.00		0.00000		0.00000		0.00000		900.00000
nguyenvanhoctg3     		96.00		700000.00000		0.00000		0.00000		0.00000
vailonchjnsu98      		51.00		0.00000		0.00000		0.00000		2200.00000
nguyenhuutuananthaican		97.00		0.00000		40000000.00000		0.00000		0.00000
nhtl02001           		80.00		0.00000		0.00000		1600.00000		0.00000
tranradi000         		91.00		0.00000		0.00000		5250.00000		0.00000
tuvay01online       		92.00		0.00000		0.00000		0.00000		350.00000
voanhtu222ivcx      		79.00		0.00000		0.00000		300.00000		300.00000
luongtientung89     		98.00		0.00000		0.00000		0.00000		0.00000
quyexttrisungnhuom  		79.00		0.00000		0.00000		5100.00000		5100.00000
tranvanphuongkt19982015		69.00		0.00000		0.00000		0.00000		0.00000
sugiagoihon2000     		98.00		0.00000		0.00000		0.00000		1300.00000
00luuhuy11          		97.00		0.00000		0.00000		0.00000		0.00000
vbonuw28            		97.00		0.00000		0.00000		0.00000		2200.00000
lovehandel1231996209		93.00		300000.00000		500000.00000		100.00000		308.00000
bklb06              		98.00		23620000.00000		37000000.00000		2700.00000		12400.00000
phupro12008         		98.00		0.00000		0.00000		0.00000		209.00000
muarubi1409         		99.00		0.00000		0.00000		400.00000		200.00000
hayyeuanhdiphongka1 		96.00		100000.00000		0.00000		0.00000		0.00000
thanhgo9x_zz        		24.00		5751.00000		0.00000		0.00000		0.00000
tranphatdatcm       		98.00		0.00000		100000.00000		0.00000		0.00000
hanphuong19995      		77.00		350000.00000		0.00000		3300.00000		0.00000
thuyga0493          		98.00		0.00000		0.00000		1300.00000		600.00000
lamthientuong21     		95.00		2500000.00000		15700000.00000		1100.00000		855.00000
thanungsamaccat     		70.00		0.00000		0.00000		0.00000		0.00000
kiemtienbb24        		89.00		0.00000		0.00000		300.00000		0.00000
conganh172004       		99.00		0.00000		0.00000		0.00000		600.00000
diepngoctrangj8ch   		79.00		0.00000		0.00000		300.00000		300.00000
djsnhaukja1234      		97.00		210000.00000		5000000.00000		100.00000		0.00000
ztangkiemsr33o      		80.00		0.00000		0.00000		900.00000		0.00000
lookatmy01          		74.00		0.00000		0.00000		5100.00000		0.00000
kutebaby99tk        		99.00		0.00000		0.00000		0.00000		500.00000
nguyenthiettri123   		95.00		0.00000		0.00000		350.00000		0.00000
trondoiyeuem15cool  		56.00		0.00000		0.00000		3285.00000		0.00000
